epoch,accuracy,loss,val_accuracy,val_loss
0,0.4793800115585327,1.2098612785339355,0.5417867302894592,1.1305686235427856
1,0.6504290103912354,0.8615297675132751,0.5475504398345947,1.0920958518981934
2,0.7315250635147095,0.6859988570213318,0.5677233338356018,1.159017562866211
3,0.7843896746635437,0.5627338886260986,0.5706051588058472,1.1957378387451172
4,0.8145585656166077,0.4846683144569397,0.5504322648048401,1.3345489501953125
5,0.8660392761230469,0.3776503801345825,0.5734870433807373,1.3769701719284058
6,0.8820924162864685,0.31489911675453186,0.5648415088653564,1.4213769435882568
7,0.9067257046699524,0.27690988779067993,0.5734870433807373,1.553281545639038
8,0.922778844833374,0.21965892612934113,0.5475504398345947,1.683525800704956
9,0.9341267347335815,0.1941990703344345,0.5850144028663635,1.7369343042373657
10,0.9225021004676819,0.21546266973018646,0.5561959743499756,1.9095181226730347
11,0.9388319849967957,0.17298300564289093,0.5677233338356018,1.8593965768814087
12,0.9584832787513733,0.12488751858472824,0.579250693321228,1.9554591178894043
13,0.9590368270874023,0.1275261789560318,0.5706051588058472,2.0805740356445312
14,0.9609742760658264,0.11983867734670639,0.5648415088653564,2.0505635738372803
15,0.9615278244018555,0.10647357255220413,0.579250693321228,2.0338499546051025
16,0.9739828109741211,0.0899878516793251,0.5677233338356018,2.1470916271209717
17,0.9620813727378845,0.11094346642494202,0.5648415088653564,2.311164379119873
18,0.9695543646812439,0.08412276208400726,0.5504322648048401,2.2118988037109375
19,0.973429262638092,0.07571115344762802,0.5533141493797302,2.3240554332733154
20,0.9748131632804871,0.07980094105005264,0.579250693321228,2.2635366916656494
21,0.9706615209579468,0.09483214467763901,0.5504322648048401,2.3704094886779785
22,0.9701079726219177,0.08622530102729797,0.5706051588058472,2.5847136974334717
23,0.972045361995697,0.0792841985821724,0.559077799320221,2.342057466506958
24,0.972875714302063,0.0776960700750351,0.5561959743499756,2.6144556999206543
