epoch,accuracy,loss,val_accuracy,val_loss
0,0.3645170331001282,1.3241174221038818,0.4438040256500244,1.271228313446045
1,0.6615001559257507,0.973761796951294,0.6714697480201721,0.9372904896736145
2,0.7940769195556641,0.57817542552948,0.6916426420211792,0.7858740091323853
3,0.8411292433738708,0.42651164531707764,0.6945244669914246,0.7703346610069275
4,0.8768336772918701,0.34169647097587585,0.6772334575653076,0.8106565475463867
5,0.900636613368988,0.28215309977531433,0.6714697480201721,0.8799225687980652
6,0.9194574952125549,0.2365904450416565,0.6916426420211792,0.9144254326820374
7,0.9349570870399475,0.20234961807727814,0.6743515729904175,0.9983806610107422
8,0.9465817809104919,0.17267216742038727,0.6858789920806885,1.0573149919509888
9,0.9548851251602173,0.15294627845287323,0.6685879230499268,1.0912208557128906
10,0.9584832787513733,0.13913805782794952,0.6829971075057983,1.118647813796997
11,0.9656794667243958,0.1178189367055893,0.6945244669914246,1.1976338624954224
12,0.9665098190307617,0.11026819795370102,0.680115282535553,1.214277982711792
13,0.9695543646812439,0.09858687222003937,0.6772334575653076,1.2994674444198608
14,0.9701079726219177,0.09389103204011917,0.6858789920806885,1.3146666288375854
15,0.973706066608429,0.08921469748020172,0.6657060384750366,1.3955132961273193
16,0.9731525182723999,0.08270824700593948,0.6743515729904175,1.4082351922988892
17,0.9753667116165161,0.07772257179021835,0.6858789920806885,1.4496471881866455
18,0.9748131632804871,0.07958575338125229,0.6743515729904175,1.509394884109497
19,0.976473867893219,0.07417546212673187,0.680115282535553,1.4899070262908936
20,0.9753667116165161,0.0792258232831955,0.6685879230499268,1.5637905597686768
21,0.9761970639228821,0.06819995492696762,0.6743515729904175,1.5655887126922607
22,0.976473867893219,0.06588292121887207,0.6829971075057983,1.5815173387527466
23,0.9773041605949402,0.0655202567577362,0.6628242135047913,1.5926856994628906
24,0.9767506122589111,0.06302689760923386,0.6858789920806885,1.6645921468734741
